"id_vivienda","area_total","pisos","habitaciones","precio_uf","estaciona","bodega","antiguedad","tipo_vivienda","nombre_propiedad","descripcion","condicion","tipo_operacion","banos","area_construida","latitud","longitud","ubicacion","tipo_subsidio","fecha_creacion","links_contacto","id_vecindario","id_comuna","id_ciudad","id_region"
"MLC1490914931","59","","3","9.94736842105263","","","","0","Maestra Gabriela","Los Cipreses 3422","Nuevo","true","1","56","-33.5809289","-70.6063903","0101000020E610000025C74219CFA651C09066D1E05BCA40C0","","2024-11-08 19:01:34.534991","[""https://departamento.mercadolibre.cl/MLC-1490914931-maestra-gabriela-_JM""]","12","3","3","1"
"MLC1377864533","214","","4","3839","","","","1","Ciudad Del Sol","Av. Concha y Toro Paradero 35 1/2","Nuevo","false","3","123.22","-33.5958291","-70.5821487","0101000020E61000002CFA9EEC41A551C0A840C12044CC40C0","","2024-11-08 19:01:35.364641","[""https://casa.mercadolibre.cl/MLC-1377864533-ciudad-del-sol-_JM""]","13","3","3","1"
"MLC534098052","216.46","","3","3558","","","","1","Condominio Newén","Juan de Dios Malebrán 3595","Nuevo","false","3","84.84","-33.577758","-70.5930304","0101000020E61000002A62C735F4A551C04E8061F9F3C940C0","","2024-11-08 19:01:36.182966","[""https://casa.mercadolibre.cl/MLC-534098052-condominio-newen-_JM""]","29","3","3","1"
"MLC1377848443","73.54","","3","3209","","","","1","Casas Hacienda Conquistadores Puente Alto","San Carlos Norte 02128","Nuevo","false","2","73.54","-33.5956423","-70.5516614","0101000020E6100000CCDD9D6B4EA351C09F4EC3013ECC40C0","","2024-11-08 19:01:36.985252","[""https://casa.mercadolibre.cl/MLC-1377848443-casas-hacienda-conquistadores-puente-alto-_JM""]","26","3","3","1"
"MLC1377763409","136","","3","3219","","","","1","Casas Hacienda Conquistadores Puente Alto L","San Carlos Norte 02128","Nuevo","false","3","73.54","-33.5954144","-70.5501083","0101000020E6100000867071F934A351C0A3C8FF8936CC40C0","","2024-11-08 19:01:37.781803","[""https://casa.mercadolibre.cl/MLC-1377763409-casas-hacienda-conquistadores-puente-alto-l-_JM""]","26","3","3","1"
"MLC1396733385","87.28","","3","4890","","","","1","Condominio Tocornal","Juan de Dios Malebrán 1101","Nuevo","false","2","71.13","-33.604069","-70.5877116","0101000020E6100000B65E1D119DA551C083C30B2252CD40C0","","2024-11-08 19:01:38.584598","[""https://casa.mercadolibre.cl/MLC-1396733385-condominio-tocornal-_JM""]","13","3","3","1"
"MLC1378459409","197.45","","3","5547","","","","1","Condominio Las Dalias","Av. El Peral 06896","Nuevo","false","3","113.9","-33.5739901","-70.5452866","0101000020E61000009C7CC4F9E5A251C028DDF18178C940C0","","2024-11-08 19:01:39.399673","[""https://casa.mercadolibre.cl/MLC-1378459409-condominio-las-dalias-_JM""]","24","3","3","1"
"MLC1378421595","200","","3","5093","","","","1","Cumbres Del Peral  Condominio Las Camelias","Avenida El Peral 06896","Nuevo","false","3","150","-33.5737871","-70.5441661","0101000020E6100000E1C50C9ED3A251C0EFAE0EDB71C940C0","","2024-11-08 19:01:40.198696","[""https://casa.mercadolibre.cl/MLC-1378421595-cumbres-del-peral-condominio-las-camelias-_JM""]","24","3","3","1"
"MLC1017424641","105.71","","3","5123","","","","1","Mirador Vizcachas Cordillera","San Carlos 7616","Nuevo","false","3","105.71","-33.5924224","-70.5353669","0101000020E610000019B7877343A251C07BB5487FD4CB40C0","","2024-11-08 19:01:40.990967","[""https://casa.mercadolibre.cl/MLC-1017424641-mirador-vizcachas-cordillera-_JM""]","28","3","3","1"
"MLC1614865302","72","","3","3121","","","","0","San Agustín","Parque Central 06580, Puente Alto, Chile","Nuevo","false","2","68","-33.5615693","-70.5489204","0101000020E6100000DD86078321A351C004F8B880E1C740C0","","2024-11-08 19:01:41.786786","[""https://departamento.mercadolibre.cl/MLC-1614865302-san-agustin-_JM""]","45","3","3","1"
"MLC1600018546","68","","3","2912","","","","0","Condominio San Fernando","Los Viñedos 6412","Nuevo","false","2","64","-33.5615821","-70.5513045","0101000020E6100000CF68AB9248A351C06FC218ECE1C740C0","","2024-11-08 19:01:42.578477","[""https://departamento.mercadolibre.cl/MLC-1600018546-condominio-san-fernando-_JM""]","45","3","3","1"
"MLC2414503966","73.17","","3","2760","","","","0","Parque San Javier","Avenida Paseo Pie Andino 2465, Puente Alto, Chile","Nuevo","false","2","68.47","-33.5922531","-70.5522467","0101000020E6100000BBF48A0258A351C031BA17F3CECB40C0","","2024-11-08 19:01:43.378665","[""https://departamento.mercadolibre.cl/MLC-2414503966-parque-san-javier-_JM""]","26","3","3","1"
"MLC1371643801","275.98","","3","3684","","","","1","Paso Alto","Av. Camilo Henríquez 625","Nuevo","false","2","90.5","-33.5975878","-70.5317676","0101000020E6100000A2C4F87A08A251C08ABECCC17DCC40C0","","2024-11-08 19:01:44.201039","[""https://casa.mercadolibre.cl/MLC-1371643801-paso-alto-_JM""]","28","3","3","1"
"MLC2426737208","176","","3","3684","","","","1","Paso Alto Nueva Etapa","Av. Camilo Henríquez 302","Nuevo","false","2","76.42","-33.5974679","-70.5317838","0101000020E6100000BA62EBBE08A251C0747401D479CC40C0","","2024-11-08 19:01:44.998239","[""https://casa.mercadolibre.cl/MLC-2426737208-paso-alto-nueva-etapa-_JM""]","28","3","3","1"
"MLC1375541677","322.12","","5","4559","","","","1","Altos Del Valle","Tobalaba 1050","Nuevo","false","3","124.29","-33.5909433","-70.5429745","0101000020E6100000F7031E18C0A251C029A5B107A4CB40C0","","2024-11-08 19:01:45.799274","[""https://casa.mercadolibre.cl/MLC-1375541677-altos-del-valle-_JM""]","26","3","3","1"
"MLC1375572047","248","","4","4730","","","","1","San Francisco","Calle Alberto Sartori 698, Puente Alto, Chile","Nuevo","false","4","104.77","-33.5979142","-70.5412075","0101000020E61000006536C824A3A251C03168D77388CC40C0","","2024-11-08 19:01:46.594389","[""https://casa.mercadolibre.cl/MLC-1375572047-san-francisco-_JM""]","26","3","3","1"
"MLC1588536266","84.95","","3","3390","","","","0","Alto Las Perdices Departamentos","Avenida Diego Portales 7080","Nuevo","false","2","79.85","-33.561693","-70.5407259","0101000020E61000006926CE409BA251C031B2648EE5C740C0","","2024-11-08 19:01:47.452299","[""https://departamento.mercadolibre.cl/MLC-1588536266-alto-las-perdices-departamentos-_JM""]","45","3","3","1"
"MLC1588548690","240","","3","4898","","","","1","Altavista Del Peñón","El Peral 7284","Nuevo","false","3","111.9","-33.5751551","-70.5392257","0101000020E61000006AAA82AC82A251C05650ACAE9EC940C0","","2024-11-08 19:01:48.270219","[""https://casa.mercadolibre.cl/MLC-1588548690-altavista-del-penon-_JM""]","24","3","3","1"
"MLC1599105442","74.62","","3","2827","","","","0","Cumbres Del Peral  Condominio Los Lirios","Avenida el Peral 06898","Nuevo","false","2","66.37","-33.5754685","-70.5413378","0101000020E6100000ABC54C47A5A251C068B0A9F3A8C940C0","","2024-11-08 19:01:49.088231","[""https://departamento.mercadolibre.cl/MLC-1599105442-cumbres-del-peral-condominio-los-lirios-_JM""]","24","3","3","1"
"MLC1564457526","91","","3","3629","","","","1","Altos Del Peñón","Cardenal Oviedo s/n","Nuevo","false","3","62","-33.5972588","-70.5509631","0101000020E610000061F3BBFA42A351C0C59FF2F972CC40C0","","2024-11-08 19:01:49.912622","[""https://casa.mercadolibre.cl/MLC-1564457526-altos-del-penon-_JM""]","26","3","3","1"
"MLC1378408971","122.23","","3","3084","","","","0","Condominio Los Jacintos","Av. El Peral 06896","Nuevo","false","2","75.84","-33.5739901","-70.5452866","0101000020E61000009C7CC4F9E5A251C028DDF18178C940C0","","2024-11-08 19:01:50.721709","[""https://departamento.mercadolibre.cl/MLC-1378408971-condominio-los-jacintos-_JM""]","24","3","3","1"
"MLC1564728362","58.13","","3","3080","","","","0","Condominio Altos Del Peñón","Cardenal Oviedo 570","Nuevo","false","2","56","-33.603063","-70.5435228","0101000020E610000058A8DA13C9A251C0BD361B2B31CD40C0","","2024-11-08 19:01:51.449989","[""https://departamento.mercadolibre.cl/MLC-1564728362-condominio-altos-del-penon-_JM""]","","3","3","1"
